column,key,value
STRATUM,BEL0112,BEL - stratum 12 : Flanders/Gen Ed and other type/network comm. Schls/Mixed ISCED
STRATUM,BEL0113,BEL - stratum 13 : Flanders/Tech or Voc/private subsidized/ISCED2
STRATUM,BEL0114,BEL - stratum 14 : Flanders/Tech or Voc/private subsidized/ISCED3
STRATUM,BEL0115,BEL - stratum 15 : Flanders/Tech or Voc/private subsidized/Mixed ISCED
STRATUM,BEL0116,BEL - stratum 16 : Flanders/Tech or Voc/network comm. Schls/ISCED2
STRATUM,BEL0117,BEL - stratum 17 : Flanders/Tech or Voc/network comm. Schls/ISCED3
STRATUM,BEL0118,BEL - stratum 18 : Flanders/Tech or Voc/network comm. Schls/Mixed ISCED
STRATUM,BEL0119,BEL - stratum 19 : Flanders/Special Ed/ private subsidized
STRATUM,BEL0120,BEL - stratum 20 : Flanders/Special Ed/network comm. schls
STRATUM,BEL0121,BEL - stratum 21 : Flanders/Part-time Vocational Ed/community
STRATUM,BEL0222,BEL - stratum 22 : French com/Regular/ISCED2
STRATUM,BEL0223,BEL - stratum 23 : French com/Regular/ Mixed ISCED/Academic only
STRATUM,BEL0224,BEL - stratum 24 : French com/Regular/ Mixed ISCED/Mixed
STRATUM,BEL0225,BEL - stratum 25 : French com/Regular/ Mixed ISCED/Vocational only
STRATUM,BEL0226,BEL - stratum 26 : French com/Special Ed
STRATUM,BEL0227,BEL - stratum 27 : French com/Part-time Vocational Ed
STRATUM,BEL0328,BEL - stratum 28 : German com/Regular
STRATUM,BEL0329,BEL - stratum 29 : German com/Special Ed
STRATUM,BGR0001,BGR - stratum 01 : Region 01
STRATUM,BGR0002,BGR - stratum 02 : Region 02
STRATUM,BGR0003,BGR - stratum 03 : Region 03
STRATUM,BGR0004,BGR - stratum 04 : Region 04
STRATUM,BGR0005,BGR - stratum 05 : Region 05
STRATUM,BGR0006,BGR - stratum 06 : Region 06
STRATUM,BGR0007,BGR - stratum 07 : Region 07
STRATUM,BGR0008,BGR - stratum 08 : Region 08
STRATUM,BGR0009,BGR - stratum 09 : Region 09
STRATUM,BGR0010,BGR - stratum 10 : Region 10
STRATUM,BGR0011,BGR - stratum 11 : Region 11
STRATUM,BRA0101,BRA - stratum 01 : ACRE - FEDERAL/ESTADUAL
STRATUM,BRA0102,BRA - stratum 02 : ACRE - MUNICIPAL
STRATUM,BRA0103,BRA - stratum 03 : ACRE - PRIVADA
STRATUM,BRA0204,BRA - stratum 04 : ALAGOAS - FEDERAL/ESTADUAL
STRATUM,BRA0205,BRA - stratum 05 : ALAGOAS - MUNICIPAL
STRATUM,BRA0206,BRA - stratum 06 : ALAGOAS - PRIVADA
STRATUM,BRA0307,BRA - stratum 07 : AMAPÁ - FEDERAL/ESTADUAL
STRATUM,BRA0308,BRA - stratum 08 : AMAPÁ - MUNICIPAL
STRATUM,BRA0309,BRA - stratum 09 : AMAPÁ - PRIVADA
STRATUM,BRA0410,BRA - stratum 10 : AMAZONAS - FEDERAL/ESTADUAL
STRATUM,BRA0411,BRA - stratum 11 : AMAZONAS - MUNICIPAL
STRATUM,BRA0412,BRA - stratum 12 : AMAZONAS - PRIVADA
STRATUM,BRA0513,BRA - stratum 13 : BAHIA - FEDERAL/ESTADUAL
STRATUM,BRA0514,BRA - stratum 14 : BAHIA - MUNICIPAL
STRATUM,BRA0515,BRA - stratum 15 : BAHIA - PRIVADA
STRATUM,BRA0616,BRA - stratum 16 : CEARÁ - FEDERAL/ESTADUAL
STRATUM,BRA0617,BRA - stratum 17 : CEARÁ - MUNICIPAL
STRATUM,BRA0618,BRA - stratum 18 : CEARÁ - PRIVADA
STRATUM,BRA0719,BRA - stratum 19 : DISTRITO FEDERAL - FEDERAL/ESTADUAL
STRATUM,BRA0720,BRA - stratum 20 : DISTRITO FEDERAL - PRIVADA
STRATUM,BRA0821,BRA - stratum 21 : ESPÍRITO SANTO - FEDERAL/ESTADUAL
STRATUM,BRA0822,BRA - stratum 22 : ESPÍRITO SANTO - MUNICIPAL
STRATUM,BRA0823,BRA - stratum 23 : ESPÍRITO SANTO - PRIVADA
STRATUM,BRA0924,BRA - stratum 24 : GOIÁS - FEDERAL/ESTADUAL
STRATUM,BRA0925,BRA - stratum 25 : GOIÁS - MUNICIPAL
STRATUM,BRA0926,BRA - stratum 26 : GOIÁS - PRIVADA
STRATUM,BRA1027,BRA - stratum 27 : MARANHÃO - FEDERAL/ESTADUAL
STRATUM,BRA1028,BRA - stratum 28 : MARANHÃO - MUNICIPAL
STRATUM,BRA1029,BRA - stratum 29 : MARANHÃO - PRIVADA
STRATUM,BRA1130,BRA - stratum 30 : MATO GROSSO - FEDERAL/ESTADUAL
STRATUM,BRA1131,BRA - stratum 31 : MATO GROSSO - MUNICIPAL
STRATUM,BRA1132,BRA - stratum 32 : MATO GROSSO - PRIVADA
STRATUM,BRA1233,BRA - stratum 33 : MATO GROSSO DO SUL - FEDERAL/ESTADUAL
STRATUM,BRA1234,BRA - stratum 34 : MATO GROSSO DO SUL - MUNICIPAL
STRATUM,BRA1235,BRA - stratum 35 : MATO GROSSO DO SUL - PRIVADA
STRATUM,BRA1336,BRA - stratum 36 : MINAS GERAIS - FEDERAL/ESTADUAL
STRATUM,BRA1337,BRA - stratum 37 : MINAS GERAIS - MUNICIPAL
STRATUM,BRA1338,BRA - stratum 38 : MINAS GERAIS - PRIVADA
STRATUM,BRA1439,BRA - stratum 39 : PARÁ - FEDERAL/ESTADUAL
STRATUM,BRA1440,BRA - stratum 40 : PARÁ - MUNICIPAL
STRATUM,BRA1441,BRA - stratum 41 : PARÁ - PRIVADA
STRATUM,BRA1542,BRA - stratum 42 : PARAÍBA - FEDERAL/ESTADUAL
STRATUM,BRA1543,BRA - stratum 43 : PARAÍBA - MUNICIPAL
STRATUM,BRA1544,BRA - stratum 44 : PARAÍBA - PRIVADA
STRATUM,BRA1645,BRA - stratum 45 : PARANÁ - FEDERAL/ESTADUAL
STRATUM,BRA1646,BRA - stratum 46 : PARANÁ - MUNICIPAL
STRATUM,BRA1647,BRA - stratum 47 : PARANÁ - PRIVADA
STRATUM,BRA1748,BRA - stratum 48 : PERNAMBUCO - FEDERAL/ESTADUAL
STRATUM,BRA1749,BRA - stratum 49 : PERNAMBUCO - MUNICIPAL
STRATUM,BRA1750,BRA - stratum 50 : PERNAMBUCO - PRIVADA
STRATUM,BRA1851,BRA - stratum 51 : PIAUÍ - FEDERAL/ESTADUAL
STRATUM,BRA1852,BRA - stratum 52 : PIAUÍ - MUNICIPAL
STRATUM,BRA1853,BRA - stratum 53 : PIAUÍ - PRIVADA
STRATUM,BRA1954,BRA - stratum 54 : RIO DE JANEIRO - FEDERAL/ESTADUAL
STRATUM,BRA1955,BRA - stratum 55 : RIO DE JANEIRO - MUNICIPAL
STRATUM,BRA1956,BRA - stratum 56 : RIO DE JANEIRO - PRIVADA
STRATUM,BRA2057,BRA - stratum 57 : RIO GRANDE DO NORTE - FEDERAL/ESTADUAL
STRATUM,BRA2058,BRA - stratum 58 : RIO GRANDE DO NORTE - MUNICIPAL
STRATUM,BRA2059,BRA - stratum 59 : RIO GRANDE DO NORTE - PRIVADA
STRATUM,BRA2160,BRA - stratum 60 : RIO GRANDE DO SUL - FEDERAL/ESTADUAL
STRATUM,BRA2161,BRA - stratum 61 : RIO GRANDE DO SUL - MUNICIPAL
STRATUM,BRA2162,BRA - stratum 62 : RIO GRANDE DO SUL - PRIVADA
STRATUM,BRA2263,BRA - stratum 63 : RONDÔNIA - FEDERAL/ESTADUAL
STRATUM,BRA2264,BRA - stratum 64 : RONDÔNIA - MUNICIPAL
STRATUM,BRA2265,BRA - stratum 65 : RONDÔNIA - PRIVADA
STRATUM,BRA2366,BRA - stratum 66 : RORAIMA - FEDERAL/ESTADUAL
STRATUM,BRA2367,BRA - stratum 67 : RORAIMA - MUNICIPAL
STRATUM,BRA2368,BRA - stratum 68 : RORAIMA - PRIVADA
STRATUM,BRA2469,BRA - stratum 69 : SANTA CATARINA - FEDERAL/ESTADUAL
STRATUM,BRA2470,BRA - stratum 70 : SANTA CATARINA - MUNICIPAL
STRATUM,BRA2471,BRA - stratum 71 : SANTA CATARINA - PRIVADA
STRATUM,BRA2572,BRA - stratum 72 : SÃO PAULO - FEDERAL/ESTADUAL
STRATUM,BRA2573,BRA - stratum 73 : SÃO PAULO - MUNICIPAL
STRATUM,BRA2574,BRA - stratum 74 : SÃO PAULO - PRIVADA
STRATUM,BRA2675,BRA - stratum 75 : SERGIPE - FEDERAL/ESTADUAL
STRATUM,BRA2676,BRA - stratum 76 : SERGIPE - MUNICIPAL
STRATUM,BRA2677,BRA - stratum 77 : SERGIPE - PRIVADA
STRATUM,BRA2778,BRA - stratum 78 : TOCANTINS - FEDERAL/ESTADUAL
STRATUM,BRA2779,BRA - stratum 79 : TOCANTINS - MUNICIPAL
STRATUM,BRA2780,BRA - stratum 80 : TOCANTINS - PRIVADA
STRATUM,CAN0101,CAN - stratum 01 : prov 10 Fr.& Eng. 0 to 17
STRATUM,CAN0102,CAN - stratum 02 : prov 10 Fr.& Eng. 18 to 34
STRATUM,CAN0103,CAN - stratum 03 : prov 10 Fr.& Eng. 35 to 196
STRATUM,CAN0104,CAN - stratum 04 : prov 10 Fr.& Eng. 197 to ...
STRATUM,CAN0210,CAN - stratum 10 : prov 11 Fr.& Eng. 0 to ...
STRATUM,CAN0320,CAN - stratum 20 : prov 12 Eng. 0 to 17
STRATUM,CAN0321,CAN - stratum 21 : prov 12 Eng. 18 to 34
STRATUM,CAN0322,CAN - stratum 22 : prov 12 Eng. 35 to ...
STRATUM,CAN0325,CAN - stratum 25 : prov 12 Fr. 0 to 17
STRATUM,CAN0326,CAN - stratum 26 : prov 12 Fr. 18 to ...
STRATUM,CAN0430,CAN - stratum 30 : prov 13 Eng. 0 to 34
STRATUM,CAN0431,CAN - stratum 31 : prov 13 Eng. 35 to ...
STRATUM,CAN0435,CAN - stratum 35 : prov 13 Fr. 0 to 34
STRATUM,CAN0436,CAN - stratum 36 : prov 13 Fr. 35 to 117
STRATUM,CAN0437,CAN - stratum 37 : prov 13 Fr. 118 to ...
STRATUM,CAN0540,CAN - stratum 40 : prov 24 Eng. 0 to 17
STRATUM,CAN0541,CAN - stratum 41 : prov 24 Eng. 18 to 34
STRATUM,CAN0542,CAN - stratum 42 : prov 24 Eng. 35 to 305
STRATUM,CAN0543,CAN - stratum 43 : prov 24 Eng. 306 to ...
STRATUM,CAN0545,CAN - stratum 45 : prov 24 Fr.  0 to 17
STRATUM,CAN0546,CAN - stratum 46 : prov 24 Fr. 18 to 34
STRATUM,CAN0547,CAN - stratum 47 : prov 24 Fr.  35 to ...
STRATUM,CAN0650,CAN - stratum 50 : prov 35 Eng.  0 to 2
STRATUM,CAN0651,CAN - stratum 51 : prov 35 Eng. 3 to 34
STRATUM,CAN0652,CAN - stratum 52 : prov 35 Eng.  35 to ...
STRATUM,CAN0655,CAN - stratum 55 : prov 35 Fr.  0 to 2
STRATUM,CAN0656,CAN - stratum 56 : prov 35 Fr.  3 to 34
STRATUM,CAN0657,CAN - stratum 57 : prov 35 Fr.  35 to ...
STRATUM,CAN0760,CAN - stratum 60 : prov 46 Eng.  0 to 17
STRATUM,CAN0761,CAN - stratum 61 : prov 46 Eng.  18 to 34
STRATUM,CAN0762,CAN - stratum 62 : prov 46 Eng.  35 to ...
STRATUM,CAN0765,CAN - stratum 65 : prov 46 Fr.  0 to 17
STRATUM,CAN0766,CAN - stratum 66 : prov 46 Fr.  18 to ...
STRATUM,CAN0870,CAN - stratum 70 : prov 47 Eng.  0 to 17
STRATUM,CAN0871,CAN - stratum 71 : prov 47 Eng. 18 to 34
STRATUM,CAN0872,CAN - stratum 72 : prov 47 Eng. 35 to ...
STRATUM,CAN0875,CAN - stratum 75 : prov 47 Fr.  0 to 8
STRATUM,CAN0876,CAN - stratum 76 : prov 47 Fr.  9 to ...
STRATUM,CAN0980,CAN - stratum 80 : prov 48 Eng.  0 to 17
STRATUM,CAN0981,CAN - stratum 81 : prov 48 Eng.  18 to 34
STRATUM,CAN0982,CAN - stratum 82 : prov 48 Eng.  35 to ...
STRATUM,CAN0985,CAN - stratum 85 : prov 48 Fr.  0 to 8
STRATUM,CAN0986,CAN - stratum 86 : prov 48 Fr.  9 to ...
STRATUM,CAN1090,CAN - stratum 90 : prov 59 Eng.  0 to 17
STRATUM,CAN1091,CAN - stratum 91 : prov 59 Eng.  18 to 34
STRATUM,CAN1092,CAN - stratum 92 : prov 59 Eng.  35 to ...
STRATUM,CAN1095,CAN - stratum 95 : prov 59 Fr.  0 to 8
STRATUM,CAN1096,CAN - stratum 96 : prov 59 Fr.  9 to ...
STRATUM,CHE0101,CHE - stratum 01 : 1-AG.gr9.pub
STRATUM,CHE1602,CHE - stratum 02 : 2-SO.gr9.pub
STRATUM,CHE0303,CHE - stratum 03 : 3-BE(d).gr9.pub
STRATUM,CHE0404,CHE - stratum 04 : 4-SG.gr9.pub
STRATUM,CHE0706,CHE - stratum 06 : 6-VS(d).gr9.pub
STRATUM,CHE0008,CHE - stratum 08 : 8-D-Rest.gr9.pub.
