column,key,value
STRATUM,15214,CHL: Stratum 14
STRATUM,15216,CHL: Stratum 16
STRATUM,15219,CHL: Stratum 19
STRATUM,15220,CHL: Stratum 20
STRATUM,17001,COL: Stratum 01
STRATUM,17002,COL: Stratum 02
STRATUM,17003,COL: Stratum 03
STRATUM,20301,CZE: PRGM1_RGN1
STRATUM,20302,CZE: PRGM1_RGN1_MSS
STRATUM,20303,CZE: PRGM1_RGN1_VSS
STRATUM,20304,CZE: PRGM1_RGN2
STRATUM,20305,CZE: PRGM1_RGN2_MSS
STRATUM,20306,CZE: PRGM1_RGN2_VSS
STRATUM,20307,CZE: PRGM1_RGN3
STRATUM,20308,CZE: PRGM1_RGN3_MSS
STRATUM,20309,CZE: PRGM1_RGN3_VSS
STRATUM,20310,CZE: PRGM1_RGN4
STRATUM,20311,CZE: PRGM1_RGN4_MSS
STRATUM,20312,CZE: PRGM1_RGN4_VSS
STRATUM,20313,CZE: PRGM1_RGN5
STRATUM,20314,CZE: PRGM1_RGN5_MSS
STRATUM,20315,CZE: PRGM1_RGN5_VSS
STRATUM,20316,CZE: PRGM1_RGN6
STRATUM,20317,CZE: PRGM1_RGN6_MSS
STRATUM,20318,CZE: PRGM1_RGN6_VSS
STRATUM,20319,CZE: PRGM1_RGN7
STRATUM,20320,CZE: PRGM1_RGN7_MSS
STRATUM,20321,CZE: PRGM1_RGN7_VSS
STRATUM,20322,CZE: PRGM1_RGN8
STRATUM,20323,CZE: PRGM1_RGN8_MSS
STRATUM,20324,CZE: PRGM1_RGN8_VSS
STRATUM,20325,CZE: PRGM1_RGN9
STRATUM,20326,CZE: PRGM1_RGN9_MSS
STRATUM,20327,CZE: PRGM1_RGN9_VSS
STRATUM,20328,CZE: PRGM1_RGN10
STRATUM,20329,CZE: PRGM1_RGN10_MSS
STRATUM,20330,CZE: PRGM1_RGN10_VSS
STRATUM,20331,CZE: PRGM1_RGN11
STRATUM,20332,CZE: PRGM1_RGN11_MSS
STRATUM,20333,CZE: PRGM1_RGN11_VSS
STRATUM,20334,CZE: PRGM1_RGN12
STRATUM,20335,CZE: PRGM1_RGN12_MSS
STRATUM,20336,CZE: PRGM1_RGN12_VSS
STRATUM,20337,CZE: PRGM1_RGN13
STRATUM,20338,CZE: PRGM1_RGN13_MSS
STRATUM,20339,CZE: PRGM1_RGN13_VSS
STRATUM,20340,CZE: PRGM1_RGN14
STRATUM,20341,CZE: PRGM1_RGN14_MSS
STRATUM,20342,CZE: PRGM1_RGN14_VSS
STRATUM,20343,CZE: PRGM2_RGN1
STRATUM,20345,CZE: PRGM2_RGN2
STRATUM,20346,CZE: PRGM2_RGN2_MSS
STRATUM,20347,CZE: PRGM2_RGN3
STRATUM,20348,CZE: PRGM2_RGN3_MSS
STRATUM,20349,CZE: PRGM2_RGN4
STRATUM,20351,CZE: PRGM2_RGN5
STRATUM,20352,CZE: PRGM2_RGN5_SS
STRATUM,20353,CZE: PRGM2_RGN6
STRATUM,20354,CZE: PRGM2_RGN6_SS
STRATUM,20355,CZE: PRGM2_RGN7
STRATUM,20356,CZE: PRGM2_RGN7_MSS
STRATUM,20357,CZE: PRGM2_RGN8
STRATUM,20358,CZE: PRGM2_RGN8_SS
STRATUM,20359,CZE: PRGM2_RGN9
STRATUM,20360,CZE: PRGM2_RGN9_MSS
STRATUM,20361,CZE: PRGM2_RGN10
STRATUM,20362,CZE: PRGM2_RGN10_MSS
STRATUM,20363,CZE: PRGM2_RGN11
STRATUM,20364,CZE: PRGM2_RGN11_MSS
STRATUM,20365,CZE: PRGM2_RGN12
STRATUM,20366,CZE: PRGM2_RGN12_SS
STRATUM,20367,CZE: PRGM2_RGN13
STRATUM,20368,CZE: PRGM2_RGN13_SS
STRATUM,20369,CZE: PRGM2_RGN14
STRATUM,20370,CZE: PRGM2_RGN14_SS
STRATUM,20371,CZE: PRGM3
STRATUM,20372,CZE: PRGM4
STRATUM,20373,CZE: PRGM5
STRATUM,20374,CZE: PRGM6
STRATUM,20375,CZE: PRGM3456_MSS
STRATUM,20376,CZE: PRGM3456_VSS
STRATUM,27697,DEU: Stratum 97
STRATUM,20801,DNK: VSS
STRATUM,20802,DNK: MSS
STRATUM,20803,DNK: LARGE
STRATUM,72401,ESP: ANDALUSIA_SCHTYPE1
STRATUM,72402,ESP: ANDALUSIA_SCHTYPE2
STRATUM,72403,ESP: ARAGON_SCHTYPE1
STRATUM,72404,ESP: ARAGON_SCHTYPE2
STRATUM,72405,ESP: ASTURIAS_SCHTYPE1
STRATUM,72406,ESP: ASTURIAS_SCHTYPE2
STRATUM,72407,ESP: BALEARIC_SCHTYPE1
STRATUM,72408,ESP: BALEARIC_SCHTYPE2
STRATUM,72409,ESP: CANARY_SCHTYPE1
STRATUM,72410,ESP: CANARY_SCHTYPE2
STRATUM,72411,ESP: CANTABRIA_SCHTYPE1
STRATUM,72412,ESP: CANTABRIA_SCHTYPE2
STRATUM,72413,ESP: CASTILEyLEON_SCHTYPE1
STRATUM,72414,ESP: CASTILEyLEON_SCHTYPE2
STRATUM,72415,ESP: LAMANCHA_SCHTYPE1
STRATUM,72416,ESP: LAMANCHA_SCHTYPE2
STRATUM,72417,ESP: CATALONIA_SCHTYPE1
STRATUM,72418,ESP: CATALONIA_SCHTYPE2
STRATUM,72419,ESP: EXTRAMADURA_SCHTYPE1
STRATUM,72420,ESP: EXTRAMADURA_SCHTYPE2
STRATUM,72421,ESP: GALICIA_SCHTYPE1
STRATUM,72422,ESP: GALICIA_SCHTYPE2
STRATUM,72423,ESP: LARIOJA_SCHTYPE1
STRATUM,72425,ESP: MADRID_SCHTYPE1
STRATUM,72426,ESP: MADRID_SCHTYPE2
STRATUM,72427,ESP: MURCIA_SCHTYPE1
STRATUM,72428,ESP: MURCIA_SCHTYPE2
STRATUM,72429,ESP: NAVARRA_SCHTYPE1
STRATUM,72430,ESP: NAVARRA_SCHTYPE2
STRATUM,72431,ESP: BASQUE_SCHTYPE1
STRATUM,72432,ESP: BASQUE_SCHTYPE1
STRATUM,72433,ESP: BASQUE_SCHTYPE1
STRATUM,72434,ESP: BASQUE_SCHTYPE2
STRATUM,72435,ESP: BASQUE_SCHTYPE2
STRATUM,72436,ESP: BASQUE_SCHTYPE2
STRATUM,72437,ESP: VALENCIA_SCHTYPE1
STRATUM,72438,ESP: VALENCIA_SCHTYPE2
STRATUM,72439,ESP: CEUTAyMELILLA_SCHTYPE1
STRATUM,72440,ESP: CEUTAyMELILLA_SCHTYPE2
STRATUM,72441,ESP: ANDALUSIA_SS
STRATUM,72442,ESP: ARAGON_SS
STRATUM,72443,ESP: ASTURIAS_MSS
STRATUM,72444,ESP: ASTURIAS_VSS
STRATUM,72445,ESP: CANTABRIA_MSS
STRATUM,72446,ESP: CANTABRIA_VSS
STRATUM,72447,ESP: CASTILEyLEON_MSS
STRATUM,72448,ESP: CASTILEyLEON_VSS
STRATUM,72449,ESP: CATALONIA_SS
STRATUM,72450,ESP: GALICIA_MSS
STRATUM,72451,ESP: GALICIA_VSS
STRATUM,72454,ESP: NAVARRA_SS
STRATUM,72455,ESP: BASQUE_MSS
STRATUM,72456,ESP: BASQUE_VSS
STRATUM,72457,ESP: OTHER_SS
STRATUM,72458,ESP: Certainty stratum
STRATUM,23301,EST: Estonian Schools
STRATUM,23302,EST: Russian Schools
STRATUM,23303,EST: Estonian/Russian Schools
STRATUM,23304,EST: Moderately small schools
STRATUM,23305,EST: Very small schools
STRATUM,23306,EST: Certainty stratum
STRATUM,24601,"FIN: Uusimaa, rural"
STRATUM,24602,"FIN: Uusimaa, urban"
